"","Forest type","total plots","plots increasing in age","% plots increasing in age","plots stuck at 0","percent stuck at 0"
"1","500",1,1,100,0,0
"2","600",1,1,100,0,0
"3","900",3,1,33.3333333333333,2,66.6666666666667
"4","920",18,15,83.3333333333333,3,16.6666666666667
"5","940",5,5,100,0,0
"6","960",4,3,75,1,25
"7","970",28,23,82.1428571428571,5,17.8571428571429
