"","AGBN","seed","seedrich","type","time"
"137",20.916144575424,0,0,"MF","first"
"138",81.310197285072,0,0,"MF","first"
"139",86.781515413824,926.1308,3,"MF","first"
"140",20.294411521104,555.67848,1,"MF","first"
"141",11.86700883228,370.45232,2,"MF","first"
"142",24.369133615344,0,0,"MF","first"
"143",24.369133615344,0,0,"MF","first"
"144",47.639894584968,0,0,"MF","first"
"145",64.718981167176,2778.3924,4,"MF","first"
"146",39.2621005224,8335.1772,1,"MF","first"
"147",132.68491753608,5927.23712,3,"MF","first"
"148",52.089584366232,0,0,"MF","first"
"149",67.758602349816,2407.94008,1,"MF","first"
"150",41.902835172912,740.90464,3,"MF","first"
"151",82.64824034544,4445.42784,2,"MF","first"
"152",60.18369240744,0,0,"MF","first"
"153",154.13431561416,3704.5232,1,"MF","first"
"154",23.9779697094,926.1308,1,"MF","first"
"155",22.450402866528,1111.35696,3,"MF","first"
"156",27.935260810128,0,0,"MF","first"
"157",57.982542192792,1667.03544,4,"MF","first"
"158",27.825227397576,0,0,"MF","first"
"159",129.66244529112,12039.7004,5,"MF","first"
"160",56.733796901376,3704.5232,2,"MF","first"
"161",90.226680951456,0,0,"MF","first"
"162",106.323178238424,2593.16624,4,"MF","first"
"163",49.669633882008,3519.29704,4,"MF","first"
"164",196.6843046196,5927.23712,1,"MF","first"
"165",143.87218955424,1667.03544,3,"MF","first"
"166",35.037622247544,0,0,"MF","first"
"167",4.7114117122464,0,0,"MF","first"
"168",53.293058703864,1667.03544,3,"MF","first"
"169",5.1117474977352,0,0,"MF","first"
"170",13.508644131864,0,0,"MF","first"
"171",14.184054481968,0,0,"MF","first"
"172",13.403755400616,185.22616,1,"MF","first"
"173",23.225478807384,0,0,"MF","first"
"174",10.1624694359328,0,0,"MF","first"
"175",10.945735395588,0,0,"MF","first"
"176",6.4408148265384,0,0,"MF","first"
"177",8.5095584296128,0,0,"MF","first"
"178",18.608469194952,1296.58312,3,"MF","first"
"179",70.097437237968,5927.23712,1,"MF","first"
"180",34.06883056164,1296.58312,1,"MF","first"
"181",149.40804597264,926.1308,3,"MF","first"
"182",7.5589009046712,0,0,"MF","first"
"183",12.185317774224,0,0,"MF","first"
"184",57.534876460152,926.1308,2,"MF","first"
"185",5.8253741994168,555.67848,2,"MF","first"
"186",46.336777073496,0,0,"MF","first"
"187",11.635128294552,740.90464,2,"MF","first"
"188",77.18103572004,2222.71392,4,"MF","first"
"189",56.865866138424,5001.10632,5,"MF","first"
"190",8.8506586459872,0,0,"MF","first"
"191",46.662943143096,1667.03544,3,"MF","first"
"192",47.736343348848,5556.7848,3,"MF","first"
"193",87.979340689632,185.22616,1,"MF","first"
"194",19.135199376216,0,0,"MF","first"
"195",102.892101729984,0,0,"MF","first"
"196",52.685728515504,2222.71392,3,"MF","first"
"197",129.4750399068,3889.74936,2,"MF","first"
"198",132.36502820184,1852.2616,3,"MF","first"
"199",78.675896288304,0,0,"MF","first"
"200",33.490093144536,555.67848,1,"MF","first"
"201",17.978666052312,370.45232,1,"MF","first"
"202",43.433136879048,0,0,"MF","first"
"203",190.77699996936,370.45232,1,"MF","first"
"204",38.068097330088,0,0,"MF","first"
"205",90.843504702048,370.45232,2,"MF","first"
"206",61.759298692728,0,0,"MF","first"
"207",140.73258894408,0,0,"MF","first"
"208",91.268406060552,740.90464,1,"MF","first"
"209",129.6504522432,3519.29704,3,"MF","first"
"210",84.331033095456,5556.7848,2,"MF","first"
"211",69.09805767564,0,0,"MF","first"
"212",45.186475651128,0,0,"MF","first"
"213",121.62710318472,10928.34344,2,"MF","first"
"214",178.60607385264,2963.61856,3,"MF","first"
"215",6.128245734912,0,0,"MF","first"
"216",5.5046991524112,0,0,"MF","first"
"217",39.31836697152,0,0,"MF","first"
"218",43.78017309372,4815.88016,4,"MF","first"
"219",23.859518746392,0,0,"MF","first"
"220",109.52835952464,2222.71392,1,"MF","first"
"221",64.310769199656,1667.03544,2,"MF","first"
"222",108.024733943784,1481.80928,1,"MF","first"
"223",70.390919449872,5556.7848,3,"MF","first"
"224",5.5485029193048,0,0,"MF","first"
"225",12.730990246128,0,0,"MF","first"
"226",23.957155606608,0,0,"MF","first"
"227",141.56235094176,7038.59408,1,"MF","first"
"228",53.969959778616,0,0,"MF","first"
"229",189.7770936096,0,0,"MF","first"
"230",150.13412975232,2593.16624,4,"MF","first"
"231",113.32186145784,185.22616,1,"MF","first"
"232",78.121279468512,0,0,"MF","first"
"233",87.283643034168,1481.80928,1,"MF","first"
"234",112.30491824496,0,0,"MF","first"
"235",41.95879899372,185.22616,1,"MF","first"
"236",93.493620830232,2407.94008,2,"MF","first"
"237",74.800124288064,2778.3924,2,"MF","first"
"238",9.9254049873048,0,0,"MF","first"
"239",10.1441525771376,0,0,"MF","first"
"240",31.9813677162,0,0,"MF","first"
"241",109.895301957168,2778.3924,2,"MF","first"
"242",48.047030540712,1481.80928,1,"MF","first"
"243",74.097611891352,185.22616,1,"MF","first"
"244",140.4357890292,0,0,"MF","first"
"245",83.034024192504,3519.29704,2,"MF","first"
"246",32.297760012168,370.45232,1,"MF","first"
"247",12.0457276632,0,0,"MF","first"
"248",16.280629802136,0,0,"MF","first"
"249",28.68787500516,0,0,"MF","first"
"250",3.3497210514096,0,0,"MF","first"
"251",55.358609017824,1111.35696,3,"MF","first"
"252",28.596481254936,555.67848,2,"MF","first"
"253",58.594355763552,1296.58312,3,"MF","first"
"254",30.754310787144,0,0,"MF","first"
"255",143.49648210912,555.67848,1,"MF","first"
"256",5.4967153692024,0,0,"MF","first"
"257",12.524059731456,370.45232,1,"MF","first"
"258",14.134950236232,1296.58312,1,"MF","first"
"259",112.054868800056,1296.58312,6,"MF","first"
"260",155.41790799528,370.45232,2,"MF","first"
"261",417.50501047416,0,0,"MF","first"
"262",373.34728054008,0,0,"MF","first"
"263",337.99300820208,0,0,"MF","first"
"264",315.66946264056,0,0,"MF","first"
"265",253.28039443056,0,0,"MF","first"
"266",577.3929628068,1852.2616,2,"MF","first"
"267",324.45543504528,555.67848,2,"MF","first"
"268",515.59278687504,0,0,"MF","first"
"269",378.55338418296,0,0,"MF","first"
"270",218.72046536928,21671.46072,3,"MF","first"
"271",195.17587061112,5001.10632,1,"MF","first"
"272",376.77426596208,1667.03544,3,"MF","first"
"273",774.01259463528,4445.42784,1,"MF","first"
"274",2.2411621608768,0,0,"MF","first"
"275",285.075869904,4074.97552,3,"MF","first"
"276",270.21211223328,740.90464,2,"MF","first"
"277",342.96989891976,1296.58312,2,"MF","first"
"278",511.92672508656,0,0,"MF","first"
"279",342.0787145832,0,0,"MF","first"
"280",358.95999433392,10002.21264,3,"MF","first"
"281",245.87216543736,1852.2616,3,"MF","first"
"282",267.02711737632,0,0,"MF","first"
"283",95.125090060224,1481.80928,4,"MF","first"
"284",426.33873090144,0,0,"MF","first"
"285",365.48398823328,926.1308,2,"MF","first"
"286",304.41068067312,4074.97552,3,"MF","first"
"287",50.561670061224,926.1308,5,"MF","first"
"288",570.5361898488,0,0,"MF","first"
"289",493.93849822128,8705.62952,5,"MF","first"
"290",470.23709716368,0,0,"MF","first"
"291",575.60510199024,0,0,"MF","first"
"292",84.456904056336,7038.59408,3,"MF","first"
"293",203.02840280016,1111.35696,1,"MF","first"
"294",344.4392154168,2407.94008,4,"MF","first"
"295",273.49462065744,370.45232,1,"MF","first"
"296",388.51377860736,0,0,"MF","first"
"297",387.42375626136,1481.80928,2,"MF","first"
"298",530.53141703184,0,0,"MF","first"
"299",176.17776186024,4815.88016,4,"MF","first"
"300",100.615518606456,5556.7848,4,"MF","first"
"301",396.39455610552,0,0,"MF","first"
"302",448.35763062888,0,0,"MF","first"
"303",291.2836732596,0,0,"MF","first"
"304",476.59722343632,0,0,"MF","first"
"305",253.69768524744,3334.07088,4,"MF","first"
"306",405.62595255168,0,0,"MF","first"
"307",251.96866882488,0,0,"MF","first"
"308",476.90926685136,0,0,"MF","first"
"309",322.77013160112,1852.2616,4,"MF","first"
"310",268.6437129852,185.22616,1,"MF","first"
"311",85.902189623712,11113.5696,4,"MF","first"
"312",171.46819281816,6297.68944,3,"MF","first"
"313",318.15908488728,4074.97552,4,"MF","first"
"314",553.38232044816,0,0,"MF","first"
"315",421.2939169404,0,0,"MF","first"
"316",588.8676196368,3334.07088,3,"MF","first"
"317",260.45559962352,3148.84472,4,"MF","first"
"318",422.95007839896,0,0,"MF","first"
"319",392.5274146164,0,0,"MF","first"
"320",133.35607988136,0,0,"MF","first"
"321",226.30197709224,5556.7848,5,"MF","first"
"322",72.91307984436,0,0,"MF","first"
"323",244.34254744704,3889.74936,3,"MF","first"
"324",195.68047530024,1481.80928,5,"MF","first"
"325",438.0970737528,0,0,"MF","first"
"326",33.73235271252,0,0,"MF","first"
"327",43.158014118072,185.22616,1,"MF","first"
"328",67.896018020376,740.90464,3,"MF","first"
