"","AGBN","seed","seedrich","type","time"
"1",88.3760097444117,0,0,"MF","first"
"2",25.099956392764,102926.191045037,1,"MF","first"
"3",131.161409575512,1269423.02288879,1,"MF","first"
"4",97.9571823037944,1097879.37114706,1,"MF","first"
"5",249.552791716615,171543.651741728,2,"MF","first"
"6",52.5640535206043,0,0,"MF","first"
"7",29.6542530096934,1509584.13532721,3,"MF","first"
"8",64.5456163129468,0,0,"MF","first"
"9",48.1733954374002,446013.494528493,4,"MF","first"
"10",204.504262224423,34308.7303483456,1,"MF","first"
"11",213.118285281968,0,0,"MF","first"
"12",84.7816220088885,0,0,"MF","first"
"13",355.061276166234,651865.876618566,1,"MF","first"
"14",121.631100021495,0,0,"MF","first"
"15",46.7720188883547,274469.842786765,2,"MF","first"
"16",44.4293193193059,0,0,"MF","first"
"17",404.473372646355,34308.7303483456,1,"MF","first"
"18",107.112620995931,548939.68557353,3,"MF","first"
"19",96.61140047729,0,0,"MF","first"
"20",50.337471686033,274469.842786765,3,"MF","first"
"21",204.618333085349,0,0,"MF","first"
"22",51.5873091614578,240161.112438419,1,"MF","first"
"23",99.9940300180886,0,0,"MF","first"
"24",460.647242059489,34308.7303483456,1,"MF","first"
"25",89.0810935301778,0,0,"MF","first"
"26",40.3597859617666,0,0,"MF","first"
"27",74.6118758818066,651865.876618566,2,"MF","first"
"28",152.369941257459,446013.494528493,1,"MF","first"
"29",59.495431692438,68617.4606966912,2,"MF","first"
"30",98.677935369822,1578201.5960239,3,"MF","first"
"31",216.860734891582,411704.764180147,3,"MF","first"
"32",148.241528511439,1715436.51741728,3,"MF","first"
"33",177.221023430089,0,0,"MF","first"
"34",199.193875910566,308778.57313511,1,"MF","first"
"35",292.675095339683,926335.719405331,2,"MF","first"
"36",178.7732223917,514630.955225184,1,"MF","first"
"37",82.0018507131759,0,0,"MF","first"
"38",125.653101278973,0,0,"MF","first"
"39",148.568467433222,377396.033831802,3,"MF","first"
"40",160.350072897005,205852.382090074,1,"MF","first"
"41",217.81739838585,0,0,"MF","first"
"42",63.3105499503546,3671034.14727298,2,"MF","first"
"43",62.08238684555,0,0,"MF","first"
"44",211.761868769068,548939.68557353,4,"MF","first"
"45",113.110566902803,0,0,"MF","first"
"46",62.4683329614666,1681127.78706893,3,"MF","first"
"47",57.2198476048211,0,0,"MF","first"
"48",27.066669087643,0,0,"MF","first"
"49",111.416722204157,823409.528360294,4,"MF","first"
"50",131.557959659032,0,0,"MF","first"
"51",91.0734534311128,0,0,"MF","first"
"52",50.9653337034291,205852.382090074,2,"MF","first"
"53",17.4760629020137,754792.067663603,2,"MF","first"
"54",20.013529558187,1681127.78706893,2,"MF","first"
"55",171.904489399166,0,0,"MF","first"
"56",78.5148197025262,1440966.67463052,2,"MF","first"
"57",75.4065234683312,1681127.78706893,4,"MF","first"
"58",24.9742787218198,1338040.48358548,2,"MF","first"
"59",105.446386555576,2264376.20299081,1,"MF","first"
"60",121.852912998509,0,0,"MF","first"
"61",86.3607086992119,1029261.91045037,2,"MF","first"
"62",79.2039593343217,1269423.02288879,1,"MF","first"
"63",69.9880670948786,68617.4606966912,2,"MF","first"
"64",62.2059565990011,446013.494528493,3,"MF","first"
"65",161.470677654185,0,0,"MF","first"
"66",161.470677654185,0,0,"MF","first"
"67",64.7515695002453,3019168.27065441,3,"MF","first"
"68",119.302837638362,171543.651741728,2,"MF","first"
"69",62.775261414872,1440966.67463052,3,"MF","first"
"70",40.5526238986495,1235114.29254044,2,"MF","first"
"71",15.9401291254005,0,0,"MF","first"
"72",10.4533798532384,0,0,"MF","first"
"73",84.9456799048654,789100.798011949,2,"MF","first"
"74",106.859098587286,0,0,"MF","first"
"75",105.780279511245,0,0,"MF","first"
"76",121.491694818612,240161.112438419,2,"MF","first"
"77",186.771619629288,0,0,"MF","first"
"78",161.048284029672,0,0,"MF","first"
"79",4.68359523497659,2435919.85473254,4,"MF","first"
"80",111.280114462531,0,0,"MF","first"
"81",24.5692394102159,0,0,"MF","first"
"82",0.578930750646303,0,0,"MF","first"
"83",51.9465368668491,0,0,"MF","first"
"84",220.422901081904,0,0,"MF","first"
"85",124.654393106522,68617.4606966912,1,"MF","first"
"86",36.1549855506333,446013.494528493,1,"MF","first"
"87",156.86777489239,0,0,"MF","first"
"88",170.222937238048,1063570.64079871,5,"MF","first"
"89",85.1864753274856,0,0,"MF","first"
"90",22.8660140518909,0,0,"MF","first"
"91",20.0270044622883,0,0,"MF","first"
"92",17.2216679081195,0,0,"MF","first"
"93",39.5409289864471,0,0,"MF","first"
"94",34.3511437447451,0,0,"MF","first"
"95",2.85855257508106,68617.4606966912,1,"MF","first"
"96",43.4716333677135,0,0,"MF","first"
"97",7.30710910481125,0,0,"MF","first"
"98",46.7727072483944,1681127.78706893,1,"MF","first"
"99",3.17543884726373,0,0,"MF","first"
"100",11.2167500431343,0,0,"MF","first"
"101",11.4905541251148,0,0,"MF","first"
"102",28.699506716893,171543.651741728,1,"MF","first"
"103",71.5280135557909,0,0,"MF","first"
"104",40.9088890480544,0,0,"MF","first"
"105",138.02795053591,446013.494528493,3,"MF","first"
"106",42.458887419986,0,0,"MF","first"
"107",12.8089968574874,0,0,"MF","first"
"108",22.7059991408167,0,0,"MF","first"
"109",185.196654764707,0,0,"MF","first"
"110",69.4621078993657,0,0,"MF","first"
"111",244.098585185692,0,0,"MF","first"
"112",75.0451547707503,1235114.29254044,3,"MF","first"
"113",231.184306128592,343087.303483456,1,"MF","first"
"114",113.438392465015,137234.921393382,2,"MF","first"
"115",107.274924997197,137234.921393382,2,"MF","first"
"116",19.9149503610433,0,0,"MF","first"
"117",16.320224435131,274469.842786765,1,"MF","first"
"118",162.826641001363,343087.303483456,2,"MF","first"
"119",388.290301349482,205852.382090074,1,"MF","first"
"120",12.9736158390203,0,0,"MF","first"
"121",112.69537948271,926335.719405331,3,"MF","first"
"122",163.697131435734,1543892.86567555,2,"MF","first"
"123",114.769172630834,34308.7303483456,1,"MF","first"
"124",26.5458853082534,0,0,"MF","first"
"125",26.5458853082534,0,0,"MF","first"
"126",100.646507145504,0,0,"MF","first"
"127",17.5802307650008,0,0,"MF","first"
"128",6.60278534937115,651865.876618566,1,"MF","first"
"129",7.25825198807848,651865.876618566,2,"MF","first"
"130",50.9830617277817,0,0,"MF","first"
"131",95.3184857640632,446013.494528493,1,"MF","first"
"132",81.9463420037658,0,0,"MF","first"
"133",36.3996814861271,308778.57313511,3,"MF","first"
"134",33.2598587713326,1200805.5621921,1,"MF","first"
"135",34.6466065747756,583248.415921875,2,"MF","first"
"136",56.1043304414757,102926.191045037,1,"MF","first"
"137",177.992730371349,240161.112438419,1,"MF","first"
"138",38.3909246619147,240161.112438419,2,"MF","first"
"139",65.2018072153151,1578201.5960239,2,"MF","first"
"140",42.7396318358694,137234.921393382,4,"MF","first"
"141",58.2623755198022,0,0,"MF","first"
"142",43.3822241834584,171543.651741728,2,"MF","first"
"143",27.4868869615358,34308.7303483456,1,"MF","first"
"144",239.428637606289,0,0,"MF","first"
"145",68.8879506224428,789100.798011949,2,"MF","first"
"146",35.2195992974915,0,0,"MF","first"
"147",20.9161462272142,0,0,"MF","first"
"148",81.3101936287616,0,0,"MF","first"
"149",86.7815121139425,171543.651741728,3,"MF","first"
"150",20.2944133214062,102926.191045037,1,"MF","first"
"151",11.8670118416384,68617.4606966912,2,"MF","first"
"152",24.3691391362932,0,0,"MF","first"
"153",24.3691391362932,0,0,"MF","first"
"154",47.6398937281936,0,0,"MF","first"
