"","class","n_west","AGB_med_west","AGB_mean_west","seed_med_west","seed_mean_west","seedrich_med_west","seedrich_mean_west","n_west_con","AGB_med_west_con","AGB_mean_west_con","seed_med_west_con","seed_mean_west_con","seedrich_med_west_con","seedrich_mean_west_con","n_east","AGB_med_east","AGB_mean_east","seed_med_east","seed_mean_east","seedrich_med_east","seedrich_mean_east"
"1","MC.first",883,102.36329798436,133.465871574977,185.22616,2029.51653227633,1,1.19932049830125,819,100.562468984208,132.12189762474,185.22616,1620.67235965812,1,1.01587301587302,3528,109.835067714624,116.618403836858,2222.71392,4303.41061698413,4,3.89654195011338
"2","MC.second",883,93.220493174424,121.804044634417,185.22616,1977.70355207248,1,1.16308040770102,819,91.049740292448,119.663324755764,185.22616,1565.26282461538,1,0.971916971916972,3528,80.0356524200172,85.2451711221861,2778.3924,4934.42910253968,4,4.32397959183673
"3","MF.first",798,81.297268331076,131.883827835481,185.22616,1599.25844912281,1,1.12155388471178,642,87.032579223996,139.386610198948,0,1111.35696,0,0.792834890965732,850,91.1376245331994,100.202567313766,2407.94008,3663.33761854118,4,4.10117647058824
"4","MF.second",798,62.964151670448,106.511940121028,185.22616,1652.41232210526,1,0.956140350877193,642,67.402857164832,112.382240638181,0,1048.1723353271,0,0.646417445482866,850,103.635654187214,110.649648329568,2593.16624,3782.75401345882,3,4.11411764705882
"5","MI.first",4253,94.375076226984,127.701862155539,740.90464,2525.57371699976,1,1.39360451446038,3943,95.9393752508182,129.961050943741,555.67848,2189.07914177023,1,1.25691098148618,1202,129.453068835796,132.790912828538,2963.61856,5323.32587121464,3,3.69301164725458
"6","MI.second",4253,87.103500729336,125.318912170168,926.1308,2732.75002622149,1,1.42111450740654,3943,89.1332848602,127.774908835098,555.67848,2419.30825923409,1,1.29317778341364,1202,125.628794339959,132.008035240843,3704.5232,5297.89965124792,3,3.93843594009983
