"","class","n_west","AGB_med_west","AGB_mean_west","seed_med_west","seed_mean_west","seedrich_med_west","seedrich_mean_west","n_west_con","AGB_med_west_con","AGB_mean_west_con","seed_med_west_con","seed_mean_west_con","seedrich_med_west_con","seedrich_mean_west_con","n_east","AGB_med_east","AGB_mean_east","seed_med_east","seed_mean_east","seedrich_med_east","seedrich_mean_east"
"1","SC.first",78,126.30646543788,140.871244717396,0,1118.48104307692,0,0.756410256410256,72,108.599481150552,139.604115820761,0,1088.20369,0,0.763888888888889,491,89.301927289176,101.678112027495,2222.71392,3788.27107682281,4,4.05295315682281
"2","SC.second",78,7.61370694917676,13.208955627041,0,1659.91135692308,0,1,72,7.61370694917676,13.0885685431393,0,1723.63232222222,0,1,491,6.7539701204136,11.7465403195381,3704.5232,6886.9425192668,4,4.5132382892057
"3","SF.first",557,55.36775511792,83.0357320377392,0,1716.58426915619,0,0.789946140035907,482,61.143259534056,86.7005634843475,0,1183.98713477178,0,0.597510373443983,17,42.870035258064,49.8298860859301,2037.48776,4325.57561882353,3,2.94117647058824
"4","SF.second",557,0,3.64420386785544,0,1786.08564696589,0,0.578096947935368,482,0,3.67045961113346,0,810.076235020747,0,0.338174273858921,17,5.9554483312968,7.36443972119774,740.90464,5654.84570823529,2,2.70588235294118
"5","SI.first",61,50.54206349987,70.6230007721802,370.45232,1834.04263344262,1,0.983606557377049,48,79.492393078308,86.3766142920073,370.45232,1088.20369,1,0.916666666666667,11,24.2534335120842,43.1342255838429,0,2694.19869090909,0,1.45454545454545
"6","SI.second",61,11.605952683584,16.0617530069878,1481.80928,3315.85191344262,1,1.34426229508197,48,13.7369435679,18.0599741123727,648.29156,2269.02046,1,1.3125,11,2.199564218124,8.9403220522744,0,2626.84372363636,0,1.18181818181818
