"","AGBN","seed","seedrich","type","time"
"1",133.8563069096,0,0,"SF","first"
"2",52.1207513076963,0,0,"SF","first"
"3",5.85063150774135,0,0,"SF","first"
"4",3.69622343624014,0,0,"SF","first"
"5",135.721045004876,0,0,"SF","first"
"6",2.47299935989916,0,0,"SF","first"
"7",192.026850964873,0,0,"SF","first"
"8",81.9585094128932,0,0,"SF","first"
"9",80.1974047885461,0,0,"SF","first"
"10",7.13712788388189,0,0,"SF","first"
"11",37.438584948583,0,0,"SF","first"
"12",68.213235931213,0,0,"SF","first"
"13",7.42300091994588,0,0,"SF","first"
"14",91.2514440239879,0,0,"SF","first"
"15",15.7330661460572,0,0,"SF","first"
"16",54.7546450500352,0,0,"SF","first"
"17",20.1053646561611,0,0,"SF","first"
"18",29.1973037904288,0,0,"SF","first"
"19",73.6737164663308,0,0,"SF","first"
"20",36.6555055745257,0,0,"SF","first"
"21",90.940196872121,0,0,"SF","first"
"22",311.59355512208,0,0,"SF","first"
"23",22.2311250659521,0,0,"SF","first"
"24",70.5602768455206,0,0,"SF","first"
"25",50.3635870157198,0,0,"SF","first"
"26",1.36548670814311,0,0,"SF","first"
"27",22.6123787768957,0,0,"SF","first"
"28",113.599909259315,0,0,"SF","first"
"29",157.222003560948,0,0,"SF","first"
"30",81.5493566989255,0,0,"SF","first"
"31",1.07057918957194,0,0,"SF","first"
"32",40.7812436144102,0,0,"SF","first"
"33",4.71348929604839,0,0,"SF","first"
"34",3.67622111502004,205852.382090074,3,"SF","first"
"35",8.26990113367796,0,0,"SF","first"
"36",86.7080219333398,0,0,"SF","first"
"37",72.6176871234459,0,0,"SF","first"
"38",25.2770521240323,0,0,"SF","first"
"39",77.8345182014612,0,0,"SF","first"
"40",84.4876397496536,2024215.09055239,2,"SF","first"
"41",70.5381023172783,0,0,"SF","first"
"42",37.4178019111477,274469.842786765,2,"SF","first"
"43",41.6697856873742,0,0,"SF","first"
"44",48.8841846247427,0,0,"SF","first"
"45",38.9007195746492,0,0,"SF","first"
"46",22.0573304927458,0,0,"SF","first"
"47",177.905645488986,0,0,"SF","first"
"48",171.64847921554,0,0,"SF","first"
"49",37.5469903318923,0,0,"SF","first"
"50",20.6115716845185,0,0,"SF","first"
"51",18.2598114620293,0,0,"SF","first"
"52",33.5780546545897,0,0,"SF","first"
"53",76.0303391057832,0,0,"SF","first"
